Latitude;Longitude;Timestamp;RouteNumber;DriverID;State;DriverCode;RouteCode;Accuracy;Speed;PosDate;IsGpsValid
55.586827;36.8529637;2025-07-17 11:21:08.940;0;181194;NULL;EMP07456;YR313246;8.35200023651123;22.57008934021;2025-07-17;1
55.5870702;36.854749;2025-07-17 11:21:03.943;0;181194;NULL;EMP07456;YR313246;8.40900039672852;24.9623928070068;2025-07-17;1
55.5872617;36.8565441;2025-07-17 11:20:58.937;0;181194;NULL;EMP07456;YR313246;8.5019998550415;24.5567111968994;2025-07-17;1
55.5874567;36.858359;2025-07-17 11:20:53.943;0;181194;NULL;EMP07456;YR313246;7.99900007247925;25.4571666717529;2025-07-17;1
55.5875625;36.8603441;2025-07-17 11:20:48.953;0;181194;NULL;EMP07456;YR313246;7.89099979400635;25.8150291442871;2025-07-17;1
55.5877297;36.8623177;2025-07-17 11:20:43.953;0;181194;NULL;EMP07456;YR313246;7.88100004196167;25.0560741424561;2025-07-17;1
55.5879481;36.8642537;2025-07-17 11:20:38.950;0;181194;NULL;EMP07456;YR313246;7.95599985122681;23.0038394927979;2025-07-17;1
55.5881493;36.8659568;2025-07-17 11:20:33.950;0;181194;NULL;EMP07456;YR313246;7.8270001411438;22.0243701934814;2025-07-17;1
55.5883471;36.8677394;2025-07-17 11:20:28.943;0;181194;NULL;EMP07456;YR313246;8.21599960327148;22.0037460327148;2025-07-17;1
55.5884937;36.8694237;2025-07-17 11:20:23.963;0;181194;NULL;EMP07456;YR313246;7.81899976730347;19.8079662322998;2025-07-17;1
55.5886582;36.8709885;2025-07-17 11:20:18.960;0;181194;NULL;EMP07456;YR313246;7.46400022506714;19.16526222229;2025-07-17;1
55.5888017;36.8724381;2025-07-17 11:20:13.957;0;181194;NULL;EMP07456;YR313246;8.03899955749512;17.6107864379883;2025-07-17;1
55.5889496;36.8737804;2025-07-17 11:20:08.967;0;181194;NULL;EMP07456;YR313246;7.66599988937378;17.0622787475586;2025-07-17;1
55.589062;36.8750392;2025-07-17 11:20:03.960;0;181194;NULL;EMP07456;YR313246;8.45300006866455;16.9635429382324;2025-07-17;1
55.5891774;36.8763802;2025-07-17 11:19:58.943;0;181194;NULL;EMP07456;YR313246;8.7480001449585;17.3925800323486;2025-07-17;1
55.5892982;36.8777827;2025-07-17 11:19:53.983;0;181194;NULL;EMP07456;YR313246;7.39799976348877;17.2411422729492;2025-07-17;1
55.5894604;36.8790937;2025-07-17 11:19:48.960;0;181194;NULL;EMP07456;YR313246;8.06900024414063;17.0632209777832;2025-07-17;1
55.5896139;36.8804286;2025-07-17 11:19:43.980;0;181194;NULL;EMP07456;YR313246;7.50099992752075;16.2876224517822;2025-07-17;1
55.5897476;36.8817497;2025-07-17 11:19:38.967;0;181194;NULL;EMP07456;YR313246;6.91300010681152;17.0582599639893;2025-07-17;1
55.5898964;36.8831197;2025-07-17 11:19:33.967;0;181194;NULL;EMP07456;YR313246;4.76800012588501;15.3278665542603;2025-07-17;1
55.5899991;36.8841829;2025-07-17 11:19:28.953;0;181194;NULL;EMP07456;YR313246;4.81699991226196;10.7843246459961;2025-07-17;1
55.5900672;36.8849433;2025-07-17 11:19:23.960;0;181194;NULL;EMP07456;YR313246;4.44299983978271;6.91317558288574;2025-07-17;1
55.5901004;36.8852895;2025-07-17 11:19:19.017;0;181194;NULL;EMP07456;YR313246;5.42799997329712;3.86715745925903;2025-07-17;1
55.5901541;36.8858091;2025-07-17 11:19:13.967;0;181194;NULL;EMP07456;YR313246;7.31599998474121;10.51438331604;2025-07-17;1
55.5902582;36.8867752;2025-07-17 11:19:08.950;0;181194;NULL;EMP07456;YR313246;7.44000005722046;16.8016223907471;2025-07-17;1
55.5903508;36.8882497;2025-07-17 11:19:03.957;0;181194;NULL;EMP07456;YR313246;7.92500019073486;20.7963600158691;2025-07-17;1
